Vuosi_code,Vuosi_label,"Sähkön tuotanto ja kulutus, GWh_code","Sähkön tuotanto ja kulutus, GWh_label",Tiedot_code,Tiedot_label,value
2003,2003,01,YDINVOIMA,osuuskt,"Osuus kokonaistuotannosta, %",27.2
2003,2003,02,Öljy (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",910
2003,2003,02,Öljy (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,8.9
2003,2003,02,Öljy (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,1.1
2003,2003,02,Öljy (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",1.1
2003,2003,03,Kivihiili (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",17923
2003,2003,03,Kivihiili (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,51.4
2003,2003,03,Kivihiili (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,21
2003,2003,03,Kivihiili (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",22.3
2003,2003,04,Maakaasu (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",13435
2003,2003,04,Maakaasu (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,19.2
2003,2003,04,Maakaasu (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,15.8
2003,2003,04,Maakaasu (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",16.7
2003,2003,05,Muut fossiiliset (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",728
2003,2003,05,Muut fossiiliset (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,1.8
2003,2003,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,0.9
2003,2003,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",0.9
2003,2003,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,arvogwh,"Määrä, GWh",32996
